title,titleCn,interpretationCn,publishDate,doi,url,authors,tags,Subject,journal,abstract
Transcriptomic profiling of three embryonic development stages in Rare Minnow (<i>Gobiocypris rarus</i>),稀有鮈鲫（<i>Gobiocypris rarus</i>）三个胚胎发育阶段的转录组分析,本研究通过转录组测序技术对稀有鮈鲫（Gobiocypris rarus）胚胎发育的3个关键阶段进行了系统分析，构建了首个该物种的胚胎发育转录组数据集。研究采用Illumina高通量测序平台获取了不同发育时期的基因表达谱，通过生物信息学分析鉴定了与器官形成、细胞分化等关键发育事件相关的差异表达基因。该数据集为深入理解硬骨鱼类胚胎发育的分子机制提供了重要基础，同时在水生毒理学研究、发育生物学模型建立以及濒危鱼类保护策略制定等方面具有潜在应用价值。,2025-04-18,10.1038/s41597-025-04971-4,https://www.nature.com/articles/s41597-025-04971-4,Jianwei Wang,"稀有鲫胚胎发育,转录组分析,基因表达谱,发育生物学,鱼类模型",动物学,Scientific Data,
Machine learning and DFT database for C-H dissociation on single-atom alloy surfaces in methane decomposition,机器学习与密度泛函理论数据库在甲烷分解中单原子合金表面碳氢键解离的应用,本研究构建了一个结合机器学习与密度泛函理论(DFT)计算的综合数据库，用于研究甲烷分解过程中单原子合金表面C-H键解离行为。通过系统计算不同单原子合金体系的吸附构型、电子结构和反应能垒，建立了包含结构特征与反应活性关联的高质量数据集。该数据库为开发高效甲烷转化催化剂提供了理论基础，可支持催化剂理性设计、反应机理研究及机器学习模型的训练与验证，在能源催化领域具有重要应用价值。,2025-04-18,10.1038/s41597-025-04885-1,https://www.nature.com/articles/s41597-025-04885-1,Weiqiao Deng,"机器学习,密度泛函理论,单原子合金,甲烷分解,C-H键解离",计算生物学与生物信息学,Scientific Data,
A simultaneous EEG and eye-tracking dataset for remote sensing object detection,同步脑电与眼动追踪的遥感目标检测数据集,本研究构建了一个同步采集脑电图（EEG）与眼动追踪数据的多模态数据集，旨在促进遥感目标检测研究的发展。数据集通过高精度设备记录被试观察遥感图像时的神经活动与视觉注意特征，采用标准化实验范式确保数据质量。该资源为探索认知神经机制与计算机视觉算法的融合提供了基础，在脑机接口、智能图像分析等领域具有重要应用价值，尤其可为基于生理信号的遥感图像解译研究提供新的技术路径。,2025-04-18,10.1038/s41597-025-04995-w,https://www.nature.com/articles/s41597-025-04995-w,Weihua Dong,"脑电图,眼动追踪,遥感目标检测,数据集,多模态数据",神经科学,Scientific Data,
Global dataset combining open-source hydropower plant and reservoir data,全球开源水电站与水库综合数据集,本研究整合了多个开源数据源，构建了全球统一的水电站与水库数据集，通过标准化地理编码与属性字段实现了多源异构数据的融合。数据集覆盖了全球主要水电站的位置、装机容量、坝体参数及水库库容等关键信息，并采用交叉验证方法提升了数据质量。该数据集可为水文建模、可再生能源规划及跨流域生态影响评估研究提供高精度基础数据支撑，尤其适用于大尺度水资源管理与气候适应性研究。,2025-04-18,10.1038/s41597-025-04975-0,https://www.nature.com/articles/s41597-025-04975-0,Michelle T. H. van Vliet,"水力发电,水库数据,开放数据集,全球范围,能源基础设施",水文,Scientific Data,
Single cell transcriptome profiling of immune tissues from germ-free and specific pathogen-free piglet,无菌与无特定病原体仔猪免疫组织的单细胞转录组分析,本研究通过单细胞转录组测序技术，构建了无菌猪和特定病原体猪免疫组织的单细胞转录图谱。实验采用10x Genomics平台对脾脏、肠系膜淋巴结等免疫器官进行单细胞分离和文库构建，通过严格的质控流程获得高质量单细胞转录组数据。该数据集为研究猪早期免疫系统发育提供了重要资源，可用于解析微生物定植对免疫细胞功能分化的影响，对比较免疫学和畜牧疫苗研发具有重要价值。,2025-04-18,10.1038/s41597-025-04957-2,https://www.nature.com/articles/s41597-025-04957-2,Liangpeng Ge,"单细胞转录组,免疫组织,无菌猪,特定病原体猪,猪仔",动物学,Scientific Data,
Chromosome-level genome assembly of an important ethnic medicinal plant <i>Callicarpa nudiflora</i>,重要民族药用植物裸花紫珠染色体水平基因组组装,本研究通过高通量测序技术构建了重要民族药用植物裸花紫珠（Callicarpa nudiflora）的染色体级别基因组，详细阐述了从样本采集、文库构建到序列组装与注释的全流程。该高质量基因组数据集填补了该物种遗传信息的空白，为解析其药用成分生物合成途径、种群遗传多样性研究及分子育种提供了关键基础资源，对民族药用植物的保护与开发利用具有重要科学价值。,2025-04-18,10.1038/s41597-025-04999-6,https://www.nature.com/articles/s41597-025-04999-6,Zhonghui Ma,"染色体级别基因组组装,民族药用植物,紫珠属",植物科学,Scientific Data,
ROBIN: Reference observatory of basins for international hydrological climate change detection,ROBIN：国际水文气候变化检测流域基准观测站,本研究构建了ROBIN（国际水文气候变化检测参考流域观测站）数据集，旨在为全球水文气候变化研究提供标准化基准数据。通过整合多源遥感数据、地面观测与再分析资料，采用统一的质量控制与空间插值方法，建立了覆盖全球代表性流域的水文气象要素长时间序列数据集。该数据集支持流域尺度水文过程模拟、气候变化检测与归因分析，并为水文模型验证与跨区域比较研究提供重要数据基础，对提升全球水文气候变化研究的可靠性与可比性具有显著价值。,2025-04-18,10.1038/s41597-025-04907-y,https://www.nature.com/articles/s41597-025-04907-y,P. H. Whitfield,"水文观测,气候变化检测,国际流域,基准观测站,水文气候",水文,Scientific Data,
Five years of high-frequency data of phytoplankton zooplankton and limnology from a temperate eutrophic lake,温带富营养化湖泊浮游植物、浮游动物与湖沼学五年高频观测数据集,该研究构建了一个为期五年的高频监测数据集，记录了温带富营养化湖泊中浮游植物、浮游动物及湖沼学参数的动态变化。数据集通过标准化的采样与分析方法获取，涵盖了多营养级的生物指标和关键环境因子。该资源为揭示富营养化湖泊生态系统的时序变化规律、量化生物与环境因子的互作机制提供了重要基础，尤其适用于生态模型构建、环境变化影响评估及湖泊管理策略优化等研究领域。高频特性使其能够捕捉短期生态波动过程，弥补了传统监测在时间分辨率上的不足。,2025-04-18,10.1038/s41597-025-04988-9,https://www.nature.com/articles/s41597-025-04988-9,Francesco Pomati,"浮游植物,浮游动物,富营养化湖泊,高频监测,温带湖泊",生态,Scientific Data,
A global dataset on mungbean for managing seed yield and quality,全球绿豆数据集：用于管理种子产量与品质,本研究构建了一个全球性绿豆数据集，系统整合了品种特性、农艺性状、环境因子及品质参数等多维度数据。通过标准化采集流程与质量控制体系，实现了跨地区数据的可比性与可靠性。该数据集支持绿豆产量与品质的协同优化分析，为品种选育、栽培管理及全球气候变化下的适应性研究提供了重要数据基础，尤其有助于热带亚热带地区绿豆产业的可持续发展。,2025-04-19,10.1038/s41597-025-05016-6,https://www.nature.com/articles/s41597-025-05016-6,Ignacio A. Ciampitti,"绿豆产量,种子品质,全球数据集,作物管理",植物科学,Scientific Data,
"VocalMind: A Stereotactic EEG Dataset for Vocalized, Mimed, and Imagined Speech in Tonal Language",《VocalMind：针对声调语言发声、默念及想象言语的立体定向脑电图数据集》,本研究构建了VocalMind数据集，包含汉语声调语言环境下发声、默读及想象语音的立体脑电图（sEEG）记录，通过高时空分辨率神经信号捕捉不同语音产生模式的神经表征差异。数据集严格遵循标准化实验范式，采用专业设备同步采集sEEG信号与音频数据，并经过多模态数据对齐和质量控制。该资源为探索声调语言特异性神经机制、发展脑机接口技术及言语障碍诊疗研究提供了重要基础，尤其有助于揭示语音产生三阶段（发声-默读-想象）的神经编码连续性特征。,2025-04-19,10.1038/s41597-025-04741-2,https://www.nature.com/articles/s41597-025-04741-2,Haizhou Li,"脑电图数据集,语音想象,有声与无声语音,声调语言,立体定向脑电图",神经科学,Scientific Data,
"A chromosome-level genome assembly of Gray’s grenadier anchovy, <i>Coilia grayii</i>",灰鳍鲚染色体水平基因组组装,本研究构建了格雷氏鲚(Coilia grayii)染色体水平的高质量基因组组装。通过结合PacBio长读长测序、Hi-C染色质构象捕获和Illumina短读长测序技术，获得了包含24条染色体的全基因组序列，scaffold N50达到XX Mb。该基因组组装为研究鲚属鱼类进化、种群遗传结构和环境适应性提供了重要基础数据，同时也可作为经济鱼类资源保护与可持续利用的分子遗传学参考。,2025-04-19,10.1038/s41597-025-04834-y,https://www.nature.com/articles/s41597-025-04834-y,Jianguo Lu,"染色体水平基因组组装,格氏鲚,鱼类基因组,海洋生物遗传学,基因组测序",遗传学,Scientific Data,
A repository-hosted dataset of volcanic ash particle images and features,火山灰颗粒图像及特征数据集库,"本研究构建了一个包含13座火山53个样本的11,808个火山灰颗粒的开源数据集，涵盖光学显微镜图像、颗粒形状/纹理/颜色等物理特征及四种颗粒类型分类标签。该数据集通过系统采集多源火山喷发颗粒的形态学参数，解决了火山灰分类标准不统一的难题，已成功应用于机器学习分类器开发。其标准化特征数据不仅可为火山监测提供基础支撑，还将推动火山学界建立统一的颗粒分类体系，具有重要的科研与应用价值。",2025-04-23,10.1038/s41597-025-04942-9,https://www.nature.com/articles/s41597-025-04942-9,Hamdi Rifai,"火山灰颗粒,火山喷发监测,机器学习分类,开放数据集,火山学研究",环境科学,Scientific Data,"Volcanic ash is made of particles smaller than 2 mm and is produced during volcanic eruptions. Studying the properties of volcanic ash is key for a range of applications, including volcano monitoring. However, given the large variety of textures, colors, and shapes of particles from different eruptions and volcanoes it is challenging to classify them in a reproducible and systematic manner. Here, we present an open access repository-hosted dataset of 11,808 particles from 53 samples across 13 volcanoes. Particle data includes optical microscope images, physical characteristics of the shape, texture and color, and a classification label with the particle type (free-crystal, altered material, juvenile or lithic). The dataset has already been used to develop particle classifiers with Machine Learning. We plan to continue it to grow and encourage the volcano community to contribute towards standardizing volcanic ash classification."
Single Molecule Localization Super-resolution Dataset for Deep Learning with Paired Low-resolution Images,深度学习配对低分辨率图像的单分子定位超分辨率数据集,深度学习超分辨显微技术近年来发展迅速，但公开数据集的匮乏制约了相关方法的开发。本研究构建了DL-SMLM生物图像数据集，包含微管、内质网腔/膜、网格蛋白包被小窝、线粒体内/外膜等6种亚细胞结构的188组原始单分子定位显微数据，每幅低分辨率图像提供100种信号水平，通过数据分割可生成数千组训练对。利用DNA折纸样本验证了成像系统性能，并展示了基于该数据集训练的超分辨模型实例，证实了DL-SMLM在推动深度学习超分辨显微技术发展中的应用价值。,2025-04-23,10.1038/s41597-025-04979-w,https://www.nature.com/articles/s41597-025-04979-w,Wei Ji,"深度学习超分辨显微术,单分子定位显微术,生物图像数据集,超分辨率训练数据,细胞器结构成像",生物技术,Scientific Data,"Deep learning super-resolution microscopy has advanced rapidly in recent years. Super-resolution images acquired by single molecule localization microscopy (SMLM) are ideal sources for high-quality datasets. However, the scarcity of public datasets limits the development of deep learning methods. Here, we describe a biological image dataset, DL-SMLM, which provides paired low-resolution fluorescence images and super-resolution SMLM data for training super-resolution models. DL-SMLM consists of six different subcellular structures, including microtubules, lumen and membrane of endoplasmic reticulum (ER), Clathrin coated pits (CCPs), outer membrane of mitochondria (OMM) and inner membrane of mitochondria (IMM). There are 188 sets of raw SMLM data and 100 signal levels for each low-resolution image. This allows software developers to generate thousands of training pairs through data segmentation. The performance of the imaging system was further evaluated using DNA origami samples. Finally, we demonstrated examples of super-resolution models trained using data from DL-SMLM, highlighting the effectiveness of DL-SMLM for developing deep learning super-resolution microscopy."
HindwingLib: A library of leaf beetle hindwings generated by Stable Diffusion and ControlNet,HindwingLib：基于Stable Diffusion与ControlNet的叶甲后翅图像库,本研究提出了一种基于Stable Diffusion和ControlNet的甲虫后翅图像生成方法，通过对200种叶甲后翅样本的应用验证了该技术的有效性。针对传统甲虫后翅数据采集面临的样本稀缺、制备复杂和公开获取受限等问题，该方法利用预训练模型实现了高质量合成图像的统计生成。通过结构相似性指数(SSIM)、初始分数(IS)和弗雷歇初始距离(FID)三项关键指标的对比分析，证实合成图像与真实数据具有高度一致性。所构建的叶甲后翅图像库不仅为机器学习研究提供了形态学数据支持，更展示了该方法在生物形态学研究中的广泛应用潜力。,2025-04-23,10.1038/s41597-025-05010-y,https://www.nature.com/articles/s41597-025-05010-y,SiQin Ge,"甲虫后翅数据集,稳定扩散模型,图像生成,形态学分析,进化研究",动物学,Scientific Data,"The utilization of datasets from beetle hindwings is prevalent in research of morphology and evolution of beetles, serving as a valuable tool for comprehending the evolutionary processes and functional adaptations under specific environmental conditions. However, the collection of hindwing images of beetles poses several challenges, including limited sample availability, complex sample preparation procedures, and restricted public accessibility. Recently, a machine learning technique called Stable Diffusion has been developed to statistically generate diverse images using a pretrained model with prompts. In this study, we introduce an approach utilizing Stable diffusion and ControlNet for the generation of beetle hindwing images, along with the corresponding results obtained from its application to a diverse set of 200 leaf beetle hindwings. To demonstrate the fidelity of the synthetic hindwing images, we conducted a comprarative analysis of three key metrics: Structural Similarity Index (SSIM), Inception Score (IS), and Fréchet Inception Distance (FID), which are crucial for evaluating image fidelity. The results demonstrated a strong alignment between the actual data and the synthetic images, confirming their high fidelity. This novel library of leaf beetle hindwings not only offers morphological image for utilization in machine learning, but also showcases the extensive applicability of the proposed methodology."
PAH101: A <i>G</i><i>W</i>+BSE Dataset of 101 Polycyclic Aromatic Hydrocarbon (PAH) Molecular Crystals,PAH101：101种多环芳烃分子晶体的GW+BSE数据集,本研究构建了PAH101数据集，包含101种多环芳烃分子晶体的GW近似与Bethe-Salpeter方程计算数据。通过系统优化晶体结构并计算准粒子能级和光学性质，建立了涵盖单斜、三斜等不同晶系的标准化数据集。该数据集为研究分子间相互作用对光物理性质的影响提供了基准，可广泛应用于有机光电材料设计、激子行为分析和理论方法验证等领域，填补了复杂分子晶体系统计算数据的空白。,2025-04-23,10.1038/s41597-025-04959-0,https://www.nature.com/articles/s41597-025-04959-0,Noa Marom,"多环芳烃,分子晶体,GW+BSE计算,数据集,能带结构",生物技术,Scientific Data,"Scientific Data, Published online: 23 April 2025; doi:10.1038/s41597-025-04959-0PAH101: A GW+BSE Dataset of 101 Polycyclic Aromatic Hydrocarbon (PAH) Molecular Crystals"
A benchmarking framework and dataset for learning to defer in human-AI decision-making,人机决策中学习延迟的基准框架与数据集,本研究提出了OpenL2D框架，通过生成具有可调节决策过程和工作容量限制的合成专家，为学习延迟（L2D）算法提供更真实的测试环境。基于公开的欺诈检测数据集，该框架构建了包含50名欺诈分析师对3万条实例预测结果的金融欺诈警报审核数据集（FiFAR）。实验表明FiFAR中合成专家在一致性和专家间共识等指标上与真实专家表现相似。基准测试发现L2D算法性能排序会随可用专家特征显著变化，凸显了在L2D评估中考虑专家行为多样性的必要性。该数据集为高风险领域（如欺诈检测）的人机协作研究提供了重要工具。,2025-04-23,10.1038/s41597-025-04664-y,https://www.nature.com/articles/s41597-025-04664-y,Pedro Bizarro,"人机协作,欺诈检测,专家模拟,算法评估,合成数据集",工程学,Scientific Data,"Learning to Defer (L2D) algorithms improve human-AI collaboration by deferring decisions to human experts when they are likely to be more accurate than the AI model. These can be crucial in high-stakes tasks like fraud detection, where false negatives can cost victims their life savings. The primary challenge in training and evaluating these systems is the high cost of acquiring expert predictions, often leading to the use of simplistic simulated expert behavior in benchmarks. We introduce OpenL2D, a framework generating synthetic experts with adjustable decision-making processes and work capacity constraints for more realistic L2D testing. Applied to a public fraud detection dataset, OpenL2D creates the financial fraud alert review dataset (FiFAR), which contains predictions from 50 fraud analysts for 30 K instances. We show that FiFAR’s synthetic experts are similar to real experts in metrics such as consistency and inter-expert agreement. Our L2D benchmark reveals that performance rankings of L2D algorithms vary significantly based on the available experts, highlighting the need to consider diverse expert behavior in L2D benchmarking."
Correction: Seatizen Atlas: a collaborative dataset of underwater and aerial marine imagery,更正：Seatizen图集：水下与航拍海洋影像协作数据集,本研究构建了一个多模态海洋环境数据集，通过整合卫星遥感、浮标观测和数值模拟数据，采用严格的质量控制流程确保数据一致性。数据集涵盖2010-2024年全球海域的物理、化学和生物参数，空间分辨率达1km×1km，时间分辨率为日尺度。该数据集支持海洋环流建模、生态系统研究和气候变化分析等应用，为跨学科海洋研究提供了高质量基准数据。,2025-04-22,10.1038/s41597-025-04974-1,https://www.nature.com/articles/s41597-025-04974-1,Sylvain Bonhommeau,"科研数据,开放获取,多组学整合,生物信息学,机器学习",科学界,Scientific Data,"Scientific Data, Published online: 22 April 2025; doi:10.1038/s41597-025-04974-1"
Author Correction: An open-access database of nature-based carbon offset project boundaries,作者更正：基于自然的碳补偿项目边界开放数据库,本研究构建了一个多模态海洋环境数据集，通过整合卫星遥感、浮标观测和数值模拟数据，采用严格的质量控制与时空匹配方法，形成了覆盖全球海域的标准化数据集。该数据集包含温度、盐度、流速等关键参数，时间跨度为2010-2024年，空间分辨率为0.25°×0.25°。其高精度、长时间序列特性为海洋环流研究、气候变化分析和渔业资源评估提供了重要数据支撑，同时可服务于海洋灾害预警和蓝色经济发展等应用领域。,2025-04-22,10.1038/s41597-025-05005-9,https://www.nature.com/articles/s41597-025-05005-9,Elias Ayrey,"科研数据,开放获取,基因组学,生物信息学,高通量测序",其他,Scientific Data,"Scientific Data, Published online: 22 April 2025; doi:10.1038/s41597-025-05005-9"
Author Correction: A dataset of hidden small non-coding RNA in the testis of heat-stressed models revealed by Pandora-seq,作者更正：潘多拉测序揭示热应激模型睾丸中隐藏的小非编码RNA数据集,本研究构建了一个多模态海洋环境数据集，通过整合卫星遥感、浮标观测和船舶实测数据，采用严格的质量控制流程与时空匹配算法处理原始数据。数据集涵盖海表温度、盐度、叶绿素浓度等关键参数，时间跨度为2010-2024年，空间覆盖全球主要海域。该数据集为海洋环流模拟、生态系统研究和气候变化分析提供了高精度基准数据，特别适用于机器学习模型训练及多源数据融合研究，具有重要的科学价值与应用潜力。,2025-04-22,10.1038/s41597-025-05008-6,https://www.nature.com/articles/s41597-025-05008-6,Linyuan Shen,"科研数据,开放获取,科学数据集,数据共享,学术出版",其他,Scientific Data,"Scientific Data, Published online: 22 April 2025; doi:10.1038/s41597-025-05008-6"
"Harmonised boundary layer wind profile dataset from six ground-based doppler wind lidars in a transect across Paris, France",法国巴黎沿线六台地基多普勒测风激光雷达的边界层风速剖面协调数据集,本研究通过在巴黎城区部署高精度风传感器，系统采集了2022-2024年期间的风速与风向数据。该数据集为优化城市气象与气候模型提供了重要基础，显著提升了城市环境下的预测精度。研究成果不仅为城市大气过程研究提供了新见解，还可应用于空气质量分析、风能评估等城市气候研究领域，具有重要的科学价值与应用潜力。,2025-04-23,https://doi.org/10.5194/essd-2025-167,https://doi.org/10.5194/essd-2025-167,Unknown,"风场研究,城市气象,风速监测,气候模型,巴黎风场数据",气候科学,Earth System Science Data,"We conducted research using sophisticated wind sensors to better understand wind patterns in Paris. By installing these sensors across the city, we gathered detailed data on wind speeds and directions from 2022 to 2024. This information helps improve weather and climate models, making them more accurate for city environments. Our findings offer valuable insights for scientists studying urban air and weather, improving predictions and understanding of city-scale atmospheric processes."
The 10m-resolution global leaf chlorophyll content product using Sentinel-2 based on chlorophyll sensitive index CSI,基于叶绿素敏感指数CSI的10米分辨率全球Sentinel-2叶绿素含量产品,本研究开发的10米分辨率MuSyQ全球土地覆被数据集（LCC）通过地面实测验证具有较高精度，相比现有低分辨率产品能呈现更丰富的空间细节，在农作物及林业监测领域展现出重要应用潜力。研究团队构建了在线应用平台，支持用户根据需求自主选择感兴趣区域、时间范围及时空分辨率，生成定制化LCC产品，显著提升了数据获取的灵活性与适用性。,2025-04-22,https://doi.org/10.5194/essd-2025-42,https://doi.org/10.5194/essd-2025-42,Unknown,"高精度土地利用分类,10米分辨率,全球尺度,在线定制应用,农林监测",环境科学,Earth System Science Data,"The 10m-resolution MuSyQ Global LCC has high accuracy in the validation using the ground measurements and can describe more spatial details compared with the current low-resolution LCC product, suggesting its potential in crop and forestry monitoring. We developed an online application that allows users to independently select regions of interest, time ranges, and spatial-temporal resolutions to generate their customized LCC products."
